'DA6',"[0.733333333333333,0.894117647058824,0.313725490196078]"
'DA7',"[0.733333333333333,0.894117647058824,0.313725490196078]"
'DA8',"[0.784313725490196,1,0.278431372549020]"
'DA9',"[0.925490196078431,0.552941176470588,0.243137254901961]"
'DB1',"[1,0.952941176470588,0.650980392156863]"
'DB2',"[1,0.952941176470588,0.650980392156863]"
'DB3',"[1,1,0.541176470588235]"
'DB4',"[1,1,0.541176470588235]"
'DB5',"[1,1,0.541176470588235]"
'DB6',"[1,1,0.541176470588235]"
'DB7',"[1,1,0.541176470588235]"
'DD1',"[0.400000000000000,0.717647058823529,0.976470588235294]"
'DD2',"[0.388235294117647,1,1]"
'DD3',"[0.388235294117647,1,1]"
'DD4',"[0.388235294117647,1,1]"
'DD5',"[0.388235294117647,1,1]"
'DD6',"[0.423529411764706,0.749019607843137,1]"
'DVA',"[0.329411764705882,0.941176470588235,0.278431372549020]"
'DVB',"[0.686274509803922,0.572549019607843,0.670588235294118]"
'DVC',"[0.384313725490196,0.200000000000000,0.945098039215686]"
'FLPL',"[0.521568627450980,0.917647058823529,0.650980392156863]"
'FLPR',"[0.521568627450980,0.917647058823529,0.650980392156863]"
'HSNL',"[0,0,0]"
'HSNR',"[0,0,0]"
'I1L',"[0.341176470588235,0.768627450980392,0.968627450980392]"
'I1R',"[0.341176470588235,0.768627450980392,0.968627450980392]"
'I2L',"[0.756862745098039,0.435294117647059,0.454901960784314]"
'I2R',"[0.756862745098039,0.435294117647059,0.454901960784314]"
'I3',"[0.949019607843137,0.815686274509804,0.274509803921569]"
'I4',"[0,0,0]"
'I5',"[0.254901960784314,0.376470588235294,0.352941176470588]"
'I6',"[0.258823529411765,0.368627450980392,0.349019607843137]"
'IL1DL',"[0.972549019607843,0.352941176470588,0.247058823529412]"
'IL1DR',"[0.972549019607843,0.352941176470588,0.247058823529412]"
'IL1L',"[0.972549019607843,0.352941176470588,0.247058823529412]"
'IL1R',"[0.972549019607843,0.352941176470588,0.247058823529412]"
'IL1VL',"[0.972549019607843,0.352941176470588,0.247058823529412]"
'IL1VR',"[0.972549019607843,0.352941176470588,0.247058823529412]"
'IL2DL',"[0.733333333333333,0.772549019607843,0.247058823529412]"
'IL2DR',"[0.733333333333333,0.772549019607843,0.247058823529412]"
'IL2L',"[0.733333333333333,0.772549019607843,0.247058823529412]"
'IL2R',"[0.733333333333333,0.772549019607843,0.247058823529412]"
'IL2VL',"[0.733333333333333,0.772549019607843,0.247058823529412]"
'IL2VR',"[0.733333333333333,0.772549019607843,0.247058823529412]"
